Adress,Hemsida,Kategori,Namn,NormalizedAdress,lat,lon,geocode_status,geocode_display_name,OSMWebsite,WebsiteFinal,OSMEmail,EmailFinal
"Bro centrum 1, 19731 Bro",,Bibliotek,Biblioteket i Bro,"Bro centrum 1, 19731 Bro",60.1103253,24.4420062,ok,"1, Bronkuja, Bro, Kuntakeskus, Keskinen Kirkkonummi, Kirkkonummi, Helsingin seutukunta, Uusimaa, Manner-Suomi, 02480, Suomi / Finland",,,,
"Furuhällsplan 1, 19640 Kungsängen",,Bibliotek,Biblioteket i Kungsängen,"Furuhällsplan 1, 19640 Kungsängen",59.478449,17.7513474,ok,"1, Furuhällsplan, Kungsängen, Upplands-Bro kommun, Stockholms län, 196 40, Sverige",,,,
Hallonbergsplan 7,,Bibliotek,Hallonbergens bibliotek,"Hallonbergsplan 7, Stockholm",59.3754396,17.9683662,ok,"Hallonbergens bibliotek, 7, Hallonbergsplan, Hallonbergen, Sundbybergs kommun, Stockholms län, 174 52, Sverige",,,,
Esplanaden 10,,Bibliotek,Biblioteket i Signalfabriken,"Esplanaden 10, Stockholm",59.362532,17.965526,ok,"Sundbybergs bibliotek, 10, Esplanaden, Hästhagen, Centrala Sundbyberg, Sundbybergs kommun, Stockholms län, 172 67, Sverige",,,,
Östangränd 7,,Bibliotek,Huvudbiblioteket Tyresö C,"Östangränd 7, Stockholm",59.2451069,18.2288111,ok,"Biblioteket i Tyresö centrum, 7, Östangränd, Bollmora, Tyresö kommun, Stockholms län, 135 21, Sverige",,,,
"Kumla Allé 7, 135 51 Tyresö",,Bibliotek,Biblioteket Trollbäcken,"Kumla Allé 7, 135 51 Tyresö",59.2218566,18.2004269,ok,"7, Kumla Allé, Persudde, Kumla, Tyresö kommun, Stockholms län, 135 53, Sverige",,,,
130 39 Sandhamn,,Folkbibliotek,Sandhamn bibliotek,130 39 Sandhamn,60.1524761,25.049372,ok,"Santahamina, Kaakkoinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, 00860, Suomi / Finland",,,,
130 36 Nämdö,,Folkbibliotek,Nämdö bibliotek,130 36 Nämdö,59.1721712,18.6067272,ok,"Nämdö, Värmdö kommun, Stockholms län, Sverige",,,,
"Motionsvägen 4, 139 32 Värmdö",,Folkbibliotek,Hemmesta bibliotek,"Motionsvägen 4, 139 32 Värmdö",59.3191714,18.4885063,ok,"Värmdö sporthall, 4B, Motionsvägen, Torshäll, Hagaberg, Hemmesta, Värmdö kommun, Stockholms län, 139 32, Sverige",,,,
"Lagergrens väg 15 / Strandtorget 15, 135 63 Tyresö",,Bibliotek,Biblioteket i Strand,"Lagergrens väg 15 / Strandtorget 15, 135 63 Tyresö",,,not_found,,,,,
"Norra Kronans gata 429, 136 76 Brandbergen",,Bibliotek,Biblioteket i Brandbergen,"Norra Kronans gata 429, 136 76 Brandbergen",59.1733521,18.1732989,ok,"Norra Kronans gata, Brandbergen, Handen, Haninge kommun, Stockholms län, 136 61, Sverige",,,,
"Poseidons torg 8, 139 46 Handen",,Bibliotek,Biblioteket i Handen,"Poseidons torg 8, 139 46 Handen",59.1672538,18.1393391,ok,"Poseidons Torg, Handen, Haninge kommun, Stockholms län, 136 43, Sverige",,,,
"Vega Allé 61, 136 57 Vega",,Bibliotek,Biblioteket i Vega,"Vega Allé 61, 136 57 Vega",59.1851633,18.1339744,ok,"Café Vega, 61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
"Centrumvägen 7, 137 38 Västerhaninge",,Bibliotek,Biblioteket i Västerhaninge,"Centrumvägen 7, 137 38 Västerhaninge",59.1224505,18.1044351,ok,"Biblioteket i Västerhaninge, 7, Centrumvägen, Västerhaninge, Haninge kommun, Stockholms län, 137 38, Sverige",,,,
"Hurtigs torg 2, 137 64 Jordbro",,Bibliotek,Biblioteket Jordbro,"Hurtigs torg 2, 137 64 Jordbro",59.1413976,18.1323709,ok,"Jordbro vårdcentral, 2, Hurtigs Torg, Jordbro, Haninge kommun, Stockholms län, 137 64, Sverige",,,,
Carl Bondes väg 12,,Bibliotek,Sorunda bibliotek,"Carl Bondes väg 12, Stockholm",59.3792982,17.8189829,ok,"12, Carl Bondes väg, Hässelby Villastad, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 165 74, Sverige",,,,
Stadshusplatsen 3,,Bibliotek,Nynäshamns bibliotek,"Stadshusplatsen 3, Stockholm",58.9022005,17.946184,ok,"Nynäshamns bildarkiv, 3, Stadshusplatsen, Heimdal, Nynäshamn, Nynäshamns kommun, Stockholms län, 149 81, Sverige",,,,
Ösmo centrum 4,,Bibliotek,Ösmo bibliotek,"Ösmo centrum 4, Stockholm",,,not_found,,,,,
Eriksbergsvägen 9,,Bibliotek,Hölö bibliotek,"Eriksbergsvägen 9, Stockholm",59.4128117,17.9567788,ok,"Eriksbergsvägen, Helenelund, Sollentuna kommun, Sundbybergs kommun, Stockholms län, 191 41, Sverige",,,,
Gröndalsvägen 1,,Bibliotek,Hovsjö bibliotek,"Gröndalsvägen 1, Stockholm",59.3144388,18.0157508,ok,"1, Gröndalsvägen, Gröndal, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 117 66, Sverige",,,,
Lunagallerian 4,,Bibliotek,Stadsbiblioteket Södertälje,"Lunagallerian 4, Stockholm",,,not_found,,,,,
Sandviksvägen 60,,Bibliotek,Enhörna bibliotek,"Sandviksvägen 60, Stockholm",59.3722573,17.8208174,ok,"60, Sandviksvägen, Hässelby strand, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 165 70, Sverige",,,,
Skolvägen 13,,Bibliotek,Mölnbo bibliotek,"Skolvägen 13, Stockholm",59.4557288,17.9225938,ok,"13, Skolvägen, Pommern, Norrviken, Sollentuna kommun, Stockholms län, 192 70, Sverige",,,,
Storgatan 4,,Bibliotek,Järna bibliotek,"Storgatan 4, Stockholm",59.3352467,18.0822257,ok,"4, Storgatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 45, Sverige",,,,
Bibliotekstorget 12,,Bibliotek,Solna stads Huvudbibliotek,"Bibliotekstorget 12, Stockholm",,,not_found,,,,,
Bällstaågatan 18,,Folkbibliotek,Bas Barkarby bibliotek,"Bällstaågatan 18, Stockholm",59.3633572,17.955135,ok,"18, Bällstaågatan, Annedal, Mariehäll, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 172 75, Sverige",,,,
Gjutarplan 8,,Folkbibliotek,Kallhälls bibliotek,"Gjutarplan 8, Stockholm",59.454321,17.8072933,ok,"Kallhälls bibliotek, 8, Gjutarplan, Kallhäll, Villastaden, Järfälla kommun, Stockholms län, 176 71, Sverige",,,,
Viksjöplan 6,,Folkbibliotek,Viksjö bibliotek,"Viksjöplan 6, Stockholm",59.411945,17.8038728,ok,"Viksjö bibliotek, 6, Viksjöplan, Viksjö, Järfälla kommun, Stockholms län, 175 45, Sverige",,,,
Väpnarstråket,,Folkbibliotek,Jakobsbergs bibliotek,"Väpnarstråket, Stockholm",,,not_found,,,,,
"Sollenkrokavägen 41, 139 73 Djurhamn",,Folkbibliotek,Djurö bibliotek,"Sollenkrokavägen 41, 139 73 Djurhamn",,,not_found,,,,,
"Tyra Lundgrensväg 19, 134 40 Gustavsberg",,Folkbibliotek,Värmdö kulturhus - Gustavsbergs bibliotek,"Tyra Lundgrensväg 19, 134 40 Gustavsberg",59.3234004,18.3816051,ok,"Tyra Lundgrens väg, Charlottendal, Gustavsberg, Värmdö kommun, Stockholms län, 134 52, Sverige",,,,
Säbyhallsvägen 34,,Allmän samlingslokal,Lilla Murgrönan,"Säbyhallsvägen 34, Stockholm",59.2037289,17.7650137,ok,"Säbyhallsvägen, Salem, Salems kommun, Stockholms län, 144 37, Sverige",,,,
Akalla by 12,,Allmän samlingslokal,Akalla by,"Akalla by 12, Stockholm",59.4123821,17.9121888,ok,"Akalla By, Akalla, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 164 79, Sverige",,,,
Gustavslundsvägen 168A,,Allmän samlingslokal,Alviks Medborgarhus,"Gustavslundsvägen 168A, Stockholm",59.3287786,17.985281,ok,"Gustavslundsvägen, Alviks Strand, Alvik, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 167 40, Sverige",,,,
Lillåvägen 44,,Allmän samlingslokal,Bagarmossens Folkets Hus,"Lillåvägen 44, Stockholm",59.2763839,18.1361638,ok,"Lillåvägen, Bagarmossen, Skarpnäcks stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 128 46, Sverige",,,,
Karlbergsvägen 86A,,Allmän samlingslokal,Birkagården,"Karlbergsvägen 86A, Stockholm",59.3433583,18.0281604,ok,"86A, Karlbergsvägen, Rörstrand, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 35, Sverige",,,,
Götalandsvägen 181,,Allmän samlingslokal,Byggnadsföreningen Älvsjö med omnejd,"Götalandsvägen 181, Stockholm",59.2831429,18.0272702,ok,"Park Folkets Hus, 181, Götalandsvägen, Liseberg, Älvsjö, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 125 35, Sverige",,,,
Eggeby Gård 1,,Allmän samlingslokal,Eggeby gård,"Eggeby Gård 1, Stockholm",59.3984373,17.9189748,ok,"Eggeby Gård, Granby, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 163 62, Sverige",,,,
Farsta Ängsvägen 22,,Allmän samlingslokal,Farsta gård,Farsta Ängsvägen 22,,,not_found,,,,,
Valhallavägen 152,,Allmän samlingslokal,Fältöversten,"Valhallavägen 152, Stockholm",59.346282,18.0679155,ok,"Valhallavägen, Lärkstaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 100 41, Sverige",,,,
Sankt Paulsgatan 39D,,Allmän samlingslokal,Hartwickska huset,"Sankt Paulsgatan 39D, Stockholm",59.3183608,18.0693249,ok,"Sankt Paulsgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 46, Sverige",,,,
Artemisgatan 19,,Allmän samlingslokal,Hjorthagens medborgarhus,"Artemisgatan 19, Stockholm",59.3556024,18.0993257,ok,"19, Artemisgatan, Gasverket, Hjorthagen, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 42, Sverige",,,,
Husby gård 8,,Allmän samlingslokal,Husby gård,"Husby gård 8, Stockholm",59.407209,17.9197006,ok,"Husby gård, Husby, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 164 32, Sverige",,,,
Edvard Griegsgången,,Allmän samlingslokal,Husby träff,"Edvard Griegsgången, Stockholm",59.407809,17.9289927,ok,"Edvard Griegsgången, Husby, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 164 34, Sverige",,,,
Riksdalervägen 2,,Allmän samlingslokal,Hägerstensåsens medborgarhus,"Riksdalervägen 2, Stockholm",59.2971036,17.9837373,ok,"Hägerstensåsens medborgarhus, 2, Riksdalervägen, Hägerstensåsen, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 129 32, Sverige",,,,
Odd Fellowvägen 18A,,Allmän samlingslokal,Jakobsbergs gård,"Odd Fellowvägen 18A, Stockholm",59.2991314,17.9383332,ok,"18A, Odd Fellowvägen, Bredäng, Skärholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 127 32, Sverige",,,,
Kristinehovsgatan 2,,Allmän samlingslokal,Kristinehovs malmgård,"Kristinehovsgatan 2, Stockholm",59.3182373,18.0413768,ok,"2, Kristinehovsgatan, Zinkensdamm, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 117 28, Sverige",,,,
Telefonvägen 20,,Allmän samlingslokal,Midsommargården,"Telefonvägen 20, Stockholm",59.2989097,17.9967964,ok,"20, Telefonvägen, Midsommarkransen, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 126 36, Sverige",,,,
Svartmangatan 6,,Allmän samlingslokal,Mäster Olofsgården,"Svartmangatan 6, Stockholm",59.3247059,18.0712596,ok,"6A-E, Svartmangatan, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",,,,
Färgargårdstorget 1,,Allmän samlingslokal,Pumpan,"Färgargårdstorget 1, Stockholm",59.3087083,18.0926865,ok,"1, Färgargårdstorget, Danvikstull, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 38, Sverige",,,,
Skårbygränd 1,,Allmän samlingslokal,Rinkeby Folkets Hus,"Skårbygränd 1, Stockholm",59.3886785,17.9270575,ok,"1, Skårbygränd, Sörgården, Rinkeby, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 163 72, Sverige",,,,
Rågsvedstorget 11,,Allmän samlingslokal,Rågsveds Folkets Hus,"Rågsvedstorget 11, Stockholm",59.2572671,18.0274713,ok,"Folkets hus, 11, Rågsvedstorget, Rågsved, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 124 65, Sverige",,,,
Bredholmstorget 14,,Allmän samlingslokal,Röda korsets folkhögskola,"Bredholmstorget 14, Stockholm",59.2754551,17.9051873,ok,"Bredholmstorget, Skärholmen, Skärholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 127 48, Sverige",,,,
Östra Brobänken,,Allmän samlingslokal,Skeppsholmsgården,"Östra Brobänken, Stockholm",59.3270785,18.0853155,ok,"Östra brobänken, Skeppsholmen, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 49, Sverige",,,,
Bagarfruvägen 44,,Allmän samlingslokal,Sköndals allaktivitetshus,"Bagarfruvägen 44, Stockholm",59.2565612,18.114203,ok,"Bagarfruvägen, Sköndal, Farsta stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 128 66, Sverige",,,,
Spångavägen 353,,Allmän samlingslokal,Spånga Folkan,Spångavägen 353,59.3729873,17.8997748,ok,"Spånga Folkan (Spånga Folkets Hus), 353, Spångavägen, Flysta, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 163 55, Sverige",,,,
Götgatan 37,,Allmän samlingslokal,Södergården,"Götgatan 37, Stockholm",59.316064,18.0724738,ok,"37, Götgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 21, Sverige",,,,
Hagstråket 13,,Allmän samlingslokal,Tensta Träff,"Hagstråket 13, Stockholm",59.395534,17.8979108,ok,"Tensta träff, 13, Hagstråket, Tensta, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 163 64, Sverige",,,,
Timmermansgatan 46,,Allmän samlingslokal,Timmermansgården,"Timmermansgatan 46, Stockholm",59.3142974,18.0612305,ok,"46-48, Timmermansgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 55, Sverige",,,,
Vällingby backe 13,,Allmän samlingslokal,Trappan,"Vällingby backe 13, Stockholm",,,not_found,,,,,
Hjälmarsvägen 26,,Allmän samlingslokal,Årsta Folkets Hus,"Hjälmarsvägen 26, Stockholm",59.2975284,18.0526946,ok,"Bio Kontrast, 26, Hjälmarsvägen, Östberga, Årsta, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 120 53, Sverige",,,,
"Tjäderstigen 16, 142 63 Trångsund",,Allmän samlingslokal,Stortorpsparken,"Tjäderstigen 16, 142 63 Trångsund",59.2294083,18.1380529,ok,"Tjäderstigen, Hammartorp, Trångsund, Fållan, Huddinge kommun, Stockholms län, 142 60, Sverige",,,,
Bergby byaväg 3,,Allmän samlingslokal,Bergby Skolas bygdegård,"Bergby byaväg 3, Stockholm",60.0589918,18.7406278,ok,"Bergby Byaväg, Norrtälje kommun, Stockholms län, Sverige",,,,
Bygdegårdsvägen 2a,,Allmän samlingslokal,Bergshamra bygdegård,"Bygdegårdsvägen 2a, Stockholm",59.2332028,18.1386079,ok,"Bygdegårdsvägen, Hammartorp, Trångsund, Fållan, Huddinge kommun, Stockholms län, 142 60, Sverige",,,,
Skeppsmyravägen 10,,Allmän samlingslokal,Björkö-Arholma medborgarhus,"Skeppsmyravägen 10, Stockholm",59.829537,19.0516022,ok,"Skeppsmyravägen, Skeppsmyra, Skaten, Norrtälje kommun, Stockholms län, 764 53, Sverige",,,,
Roslagsbrovägen 147,,Allmän samlingslokal,Brogården,"Roslagsbrovägen 147, Stockholm",59.856277,18.7426291,ok,"Roslagsbrovägen, Ekeby, Norrtälje kommun, Stockholms län, Sverige",,,,
Stora ramviksvägen 233,,Allmän samlingslokal,Nyby bygdegård,"Stora ramviksvägen 233, Stockholm",59.910485,18.8846006,ok,"Stora Ramviksvägen, Strömsborg, Norrtälje kommun, Stockholms län, 761 75, Sverige",,,,
Rävsnäs bryggväg 6,,Allmän samlingslokal,Refsnäs bygdegård,"Rävsnäs bryggväg 6, Stockholm",,,not_found,,,,,
Edsbro bruksgata 27,,Allmän samlingslokal,Edsbro bygdegård,"Edsbro bruksgata 27, Stockholm",59.8877341,18.4934517,ok,"Edsbro Bruksgata, Sanddalen, Edsbro, Norrtälje kommun, Stockholms län, 762 97, Sverige",,,,
Flemmingsbergsvägen 38,,Allmän samlingslokal,Estuna bygdegård,"Flemmingsbergsvägen 38, Stockholm",,,not_found,,,,,
Norra uppsalavägen 15,,Allmän samlingslokal,Folkets Hus Hallstavik,"Norra uppsalavägen 15, Stockholm",60.0500342,18.5958667,ok,"Hallstaviks bibliotek, 15, Norra Uppsalavägen, Skärsta, Hallstavik, Norrtälje kommun, Stockholms län, 763 40, Sverige",,,,
Folkets hus väg 5,,Allmän samlingslokal,Folkets Hus – Herräng,"Folkets hus väg 5, Stockholm",,,not_found,,,,,
Hargs by 82,,Allmän samlingslokal,Vätö folkets hus,"Hargs by 82, Stockholm",59.8086244,18.9630632,ok,"Hargs by, Vätö, Harg, Norrtälje kommun, Stockholms län, 760 21, Sverige",,,,
Byhusvägen 20,,Allmän samlingslokal,Sättra Byhus,"Byhusvägen 20, Stockholm",59.6170783,18.4374266,ok,"Byhusvägen, Sättra, Norrtälje kommun, Stockholms län, Sverige",,,,
Galles gränd 5,,Allmän samlingslokal,Folkets Hus Norrtälje,"Galles gränd 5, Stockholm",59.7562689,18.7001166,ok,"5, Galles gränd, Grossgärdet, Grind, Norrtälje, Norrtälje kommun, Stockholms län, 761 30, Sverige",,,,
Stockholmsvägen 1a,,Allmän samlingslokal,IOGT-NTO gården i Norrtälje,Stockholmsvägen 1a,59.2788291,18.0809374,ok,"Stockholmsvägen, Gamla Enskede, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 122 63, Sverige",,,,
Furusundsvägen 198,,Allmän samlingslokal,Lännagården,"Furusundsvägen 198, Stockholm",59.6791641,18.7366396,ok,"Furusundsvägen, Edsberg, Hysingsvik, Norrtälje kommun, Stockholms län, 761 83, Sverige",,,,
Lohäradsvägen 231a,,Allmän samlingslokal,Lohärad bygdegård,"Lohäradsvägen 231a, Stockholm",59.7718608,18.5450906,ok,"Lohäradsvägen, Sättralund, Norrtälje kommun, Stockholms län, 761 91, Sverige",,,,
Gräddö varvsväg 12,,Allmän samlingslokal,Rådmansö bygdegård,"Gräddö varvsväg 12, Stockholm",59.7664404,19.0319911,ok,"Gräddö varvsväg, Västerbyn, Gräddö, Norrtälje kommun, Stockholms län, 760 15, Sverige",,,,
Singö skolväg 10,,Allmän samlingslokal,Singö bygdegård,"Singö skolväg 10, Stockholm",60.1619214,18.744446,ok,"Singö skolväg, Söderby, Norrtälje kommun, Stockholms län, 764 57, Sverige",,,,
Sättrabyvägen 40,,Allmän samlingslokal,Sättraby bygdegård,"Sättrabyvägen 40, Stockholm",59.8435362,18.4371054,ok,"Sättraby Bygdegård, 40, Sättrabyvägen, Tallund, Edsbro, Norrtälje kommun, Stockholms län, 762 97, Sverige",,,,
Vagnsundavägen 318,,Allmän samlingslokal,Yxlan-Blidö Bygdegård,"Vagnsundavägen 318, Stockholm",59.6316559,18.880752,ok,"Vagnsundavägen, Yxlö-Edsviken, Norrtälje kommun, Stockholms län, 760 17, Sverige",,,,
Simpnäsvägen 138,,Allmän samlingslokal,Väddö IOGT-NTO,"Simpnäsvägen 138, Stockholm",59.8645257,19.0337167,ok,"Simpnäsvägen, Dragsviken, Norrtälje kommun, Stockholms län, 764 53, Sverige",,,,
,,Allmän samlingslokal,Tjockö bygård,,,,empty_address,,,,,
Gribby byväg 75,,Allmän samlingslokal,Gribby bystuga,"Gribby byväg 75, Stockholm",59.9934229,18.6099822,ok,"Gribby byväg, Gribby, Norrtälje kommun, Stockholms län, 763 43, Sverige",,,,
"Furuhällsplan 1, 196 40 Kungsängen",,Allmän samlingslokal,"Konferensrum, plan 6 kommunhuset","Furuhällsplan 1, 196 40 Kungsängen",59.478449,17.7513474,ok,"1, Furuhällsplan, Kungsängen, Upplands-Bro kommun, Stockholms län, 196 40, Sverige",,,,
"Kvistabergsvägen 4, 197 91 Bro",,Allmän samlingslokal,Kvistaberg samlingssal,"Kvistabergsvägen 4, 197 91 Bro",59.5016972,17.6039506,ok,"4, Kvistabergsvägen, Hammartorp, Bro, Upplands-Bro kommun, Stockholms län, 197 91, Sverige",,,,
"Torget 4, 196 30 Kungsängen",,Allmän samlingslokal,Dagcentralen i Kungsängen,"Torget 4, 196 30 Kungsängen",59.4794006,17.7484764,ok,"4, Torget, Kungsängen, Upplands-Bro kommun, Stockholms län, 196 30, Sverige",,,,
"Kyrkvägen 22, 169 39 Kungsängen",,Allmän samlingslokal,Stockholms-Näs Hembygdsförening,"Kyrkvägen 22, 169 39 Kungsängen",59.4816949,17.742185,ok,"Kungsängens Hembygdsgård, 22, Kyrkvägen, Kungsängen, Upplands-Bro kommun, Stockholms län, 196 30, Sverige",,,,
"Stora Sandhagenvägen 2, 197 36 Bro",,Allmän samlingslokal,Föreningen Kulturbojen,"Stora Sandhagenvägen 2, 197 36 Bro",59.5125867,17.6648175,ok,"2, Stora Sandhagenvägen, Österhagen, Bro, Upplands-Bro kommun, Stockholms län, 197 36, Sverige",,,,
"Prästvägen 8, 197 30 Bro",,Allmän samlingslokal,Bro-Lossa hembygdsförening,"Prästvägen 8, 197 30 Bro",59.5124448,17.6400876,ok,"8, Prästvägen, Finnsta, Bro, Upplands-Bro kommun, Stockholms län, 197 30, Sverige",,,,
"Kyrkbyvägen 23, 197 93 Bro",,Allmän samlingslokal,Tibblegården,"Kyrkbyvägen 23, 197 93 Bro",59.5874778,17.662541,ok,"23, Kyrkbyvägen, Ålsta, Håbo-Tibble kyrkby, Upplands-Bro kommun, Stockholms län, 197 92, Sverige",,,,
"Tjusta Skolväg 16, 197 93 Bro",,Allmän samlingslokal,Håtuna-Håbo-Tibble socknars hembygdsförening,"Tjusta Skolväg 16, 197 93 Bro",59.599686,17.6318261,ok,"16, Tjusta skolväg, Tjusta, Bro, Upplands-Bro kommun, Stockholms län, 197 93, Sverige",,,,
Sturegatan 12,,Allmän samlingslokal,Folkets hus,"Sturegatan 12, Stockholm",59.3374639,18.0741255,ok,"12, Sturegatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 37, Sverige",,,,
Pluggvägen 6B,,Allmän samlingslokal,"Kvarnhjulet, Nyfors","Pluggvägen 6B, Stockholm",59.2410294,18.2272193,ok,"Pluggvägen, Bollmora, Tyresö kommun, Stockholms län, 135 45, Sverige",,,,
Kyrkvägen 7,,Allmän samlingslokal,Tyresö Bygdegård,"Kyrkvägen 7, Stockholm",59.1224225,18.1096887,ok,"Västerhaninge församlingshem, 7, Kyrkvägen, Västerhaninge, Haninge kommun, Stockholms län, 137 41, Sverige",,,,
Kumla Allé 47,,Allmän samlingslokal,Kumla Herrgård,"Kumla Allé 47, Stockholm",59.2166454,18.1924587,ok,"Kumla herrgård, 47, Kumla Allé, Fornudden, Kumla, Tyresö kommun, Stockholms län, 135 52, Sverige",,,,
"Odinsvägen 6, Dalarö",,Allmän samlingslokal,Dalarö Tullhus,"Odinsvägen 6, Dalarö",59.1373153,18.4144357,ok,"Odinsvägen, Schweizerdalen, Dalarö, Haninge kommun, Stockholms län, 137 71, Sverige",,,,
Nynäsvägen 208,,Allmän samlingslokal,Västerhaninge tingshus,"Nynäsvägen 208, Stockholm",59.1202237,18.1080383,ok,"Västerhaninge Tingshus, 208, Nynäsvägen, Ribbyberg, Västerhaninge, Haninge kommun, Stockholms län, 137 41, Sverige",,,,
Kyrkgatan 8,,Allmän samlingslokal,Sorunda bygdegård,"Kyrkgatan 8, Stockholm",59.0096747,17.8122643,ok,"Kyrkgatan, Spångbro (fd. Sorunda), Sorunda, Nynäshamns kommun, Stockholms län, 148 70, Sverige",,,,
Sorunda folkets hus 1,,Allmän samlingslokal,Sorunda Folkets hus,"Sorunda folkets hus 1, Stockholm",,,not_found,,,,,
Stadshusplatsen 3,,Allmän samlingslokal,Folkets hus,"Stadshusplatsen 3, Stockholm",58.9022005,17.946184,ok,"Nynäshamns bildarkiv, 3, Stadshusplatsen, Heimdal, Nynäshamn, Nynäshamns kommun, Stockholms län, 149 81, Sverige",,,,
Svärdsögården 1,,Allmän samlingslokal,Svärdsögården,"Svärdsögården 1, Stockholm",,,not_found,,,,,
Västerby byväg 1,,Allmän samlingslokal,Västerby bygdegård,"Västerby byväg 1, Stockholm",59.0848425,17.9021597,ok,"Västerby byväg, Västerby, Nynäshamns kommun, Stockholms län, Sverige",,,,
Ösmo centrum 4,,Allmän samlingslokal,Moa-salen,"Ösmo centrum 4, Stockholm",,,not_found,,,,,
Furugatan 3,,Allmän samlingslokal,Olle Olsson Kvarteret,"Furugatan 3, Stockholm",59.3607953,18.0155867,ok,"Furugatan, Hagalund, Solna, Solna kommun, Stockholms län, 169 66, Sverige",,,,
Hagalundsgatan 33,,Allmän samlingslokal,Ankaret,"Hagalundsgatan 33, Stockholm",59.3615884,18.0160286,ok,"Hagalundsgatan, Hagalund, Solna kommun, Stockholms län, 169 67, Sverige",,,,
"Skärgårdsvägen 291, 139 33 Värmdö",,Allmän samlingslokal,Värmdö bygdegård,"Skärgårdsvägen 291, 139 33 Värmdö",59.3262294,18.4997991,ok,"Värmdö bygdegård, 291, Skärgårdsvägen, Hemmesta, Värmdö kommun, Stockholms län, 139 33, Sverige",,,,
GRÄSGATAN 3,,Galleri,EDITION ROBERT MALMKVIST AKTIEBOLAG,"GRÄSGATAN 3, Stockholm",59.3069597,18.0717097,ok,"3, Gräsgatan, Skanstull, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 60, Sverige",,,,
LINNÉGATAN 31,,Galleri,ANDRÉHN - SCHIPTJENKO AKTIEBOLAG,"LINNÉGATAN 31, Stockholm",59.3370302,18.081651,ok,"31, Linnégatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 45, Sverige",,,,
UPPLANDSGATAN 46,,Galleri,MICKAEL STRÖMQUIST KONST & ANTIK AKTIEBOLAG,"UPPLANDSGATAN 46, Stockholm",59.3417444,18.0496093,ok,"46, Upplandsgatan, Sabbatsberg, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 28, Sverige",,,,
