Adress,Hemsida,Kategori,Namn,NormalizedAdress,lat,lon,geocode_status,geocode_display_name,OSMWebsite,WebsiteFinal,OSMEmail,EmailFinal
Bobergsgatan 81-83,,Bibliotek,Norra Djurgårdsstadens bibliotek,"Bobergsgatan 81-83, Stockholm",59.3529234,18.0853404,ok,"Bobergsgatan, Gasverket, Hjorthagen, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 44, Sverige",,,,
Skårbygränd 1,,Bibliotek,Rinkeby bibliotek,"Skårbygränd 1, Stockholm",59.3886785,17.9270575,ok,"1, Skårbygränd, Sörgården, Rinkeby, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 163 72, Sverige",,,,
Skarpnäcks allé 25,,Bibliotek,Skarpnäcks bibliotek,Skarpnäcks allé 25,59.2679013,18.1289155,ok,"Skarpnäcks Kulturhus, 25, Skarpnäcks Allé, Skarpnäcks gård, Skarpnäcks stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 128 33, Sverige",,,,
Bredholmsgatan 4,,Bibliotek,Skärholmens bibliotek,"Bredholmsgatan 4, Stockholm",59.2747598,17.9064915,ok,"Bredholmsgatan, Skärholmen, Skärholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 127 48, Sverige",,,,
Sköndalsvägen 91,,Bibliotek,Sköndals bibliotek,"Sköndalsvägen 91, Stockholm",59.2555,18.1142,ok,"Hemköp Sköndal C, 91, Sköndalsvägen, Sköndal, Farsta stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 128 66, Sverige",,,,
Värsta Allé 12,,Bibliotek,Spånga bibliotek,"Värsta Allé 12, Stockholm",59.3819046,17.8967077,ok,"Värsta allé, Solhöjden, Solhem, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 163 51, Sverige",,,,
Essingestråket 24,,Bibliotek,Stora Essingens bibliotek,"Essingestråket 24, Stockholm",59.3208091,17.9861386,ok,"Lycée Français Saint Louis de Stockholm, 24, Essingestråket, Stora Essingen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 112 66, Sverige",,,,
Grev Turegatan 6,,Bibliotek,Sture bibliotek,"Grev Turegatan 6, Stockholm",59.3351954,18.0748695,ok,"Grev Turegatan, Eriksberg, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 46, Sverige",,,,
Artemisgatan 30a,,Bibliotek,Hjorthagen,"Artemisgatan 30a, Stockholm",59.3564215,18.0985694,ok,"30A, Artemisgatan, Gasverket, Hjorthagen, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 40, Sverige",,,,
Hornsbruksgatan 25,,Bibliotek,Hornstulls bibliotek,"Hornsbruksgatan 25, Stockholm",59.3160198,18.0350751,ok,"25, Hornsbruksgatan, Hornstull, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 117 34, Sverige",,,,
Edvard Griegsgången 9,,Bibliotek,Husby bibliotek,"Edvard Griegsgången 9, Stockholm",59.407809,17.9289927,ok,"Edvard Griegsgången, Husby, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 164 34, Sverige",,,,
