source_file,row,name,city,category,website,lat_field,lon_field,pair_example,delete,reason
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1132,Tensta Bibliotek,Stockholm,library,http://biblioteket.stockholm.se/bibliotek/tensta-bibliotek,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1133,Tensta CommunityCenter,Stockholm,community_center,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1134,Tensta Joyful Noise,Stockholm,choir,https://youtube.com/@tenstajoyfulnoise?si=ZUbpRHa_YXbW53I7,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1135,Tensta konsthall,Stockholm,art_gallery,https://tenstakonsthall.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1136,Tham & Videgård Arkitekter,Stockholm,architectural_designer,http://www.tvark.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1137,The Cave,Stockholm,dance_club,https://thecavesthlm.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1138,The English Bookshop,Stockholm,bookstore,http://www.bookshop.se,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1139,The English Bookshop Stockholm,Stockholm,bookstore,http://www.bookshop.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1140,The EntertainMen,Stockholm,choir,http://www.entertainmen.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1141,The Filth Archive,Stockholm,music_and_dvd_store,http://www.filtharchive.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1142,The International Ballet School,Stockholm,dance_school,http://www.internationalballet.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1143,The Lux AW Club,Stockholm,dance_club,https://www.theluxaw.club/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1144,The Rabbit Hole,Stockholm,dance_club,https://www.rabbitholeproduktion.se/om-oss,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1145,The Royal Armoury,Stockholm,history_museum,http://livrustkammaren.se/en,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1146,The Viking Museum,Stockholm,museum,http://www.thevikingmuseum.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1147,The Wall,Stockholm,dance_club,https://www.stureplansgruppen.se/nightlife/the-wall/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1148,Thielska Galleriet,Stockholm,art_museum,http://www.thielskagalleriet.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1149,Thomas Eriksson Arkitektur & Design,Stockholm,architectural_designer,http://tea.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1150,Tillsammans,Stockholm,architectural_designer,http://www.tillsammans.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1151,TioTretton,Stockholm,library,http://kulturhusetstadsteatern.se/tiotretton,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1152,Tjalans,Stockholm,dance_club,http://tjalans.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1153,Tolkiensällskapet Forodrim,Stockholm,arts_and_entertainment,http://www.forodrim.org/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1154,Total Arkitektur och Urbanism Tau,Stockholm,architectural_designer,http://totalarkitektur.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1155,Tradition Arkitekter,Stockholm,architectural_designer,http://www.traditionarkitekter.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1156,"Transit Kulturinkubator - tid, råd och rum för konstnärliga verksamheter",Stockholm,community_services_non_profits,http://www.transitsthlm.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1157,Tranströmerbiblioteket,Stockholm,library,https://biblioteket.stockholm.se/bibliotek/medborgarhusets-bibliotek,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1158,Tranströmerbiblioteket Medborgarplatsen,Stockholm,library,https://biblioteket.stockholm.se/bibliotek/transtromerbiblioteket,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1159,Traxton Recording,Stockholm,media_agency,http://www.traxtonrecording.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1160,Trädgård på Spåret,Stockholm,urban_farm,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1161,Trädgården,Stockholm,dance_club,http://www.tradgarden.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1162,Tundell Salmson audio,Stockholm,arts_and_entertainment,http://www.tundellsalmsonaudio.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1163,Turteatern,Stockholm,theatre,http://www.turteatern.se,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1164,Tussilago Arkitekter,Stockholm,architectural_designer,http://www.tussilagoarkitekter.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1165,Tåp Studio,Stockholm,dance_school,https://tapstudio.se/,,,,,praesidia != 1
