name,website,praesidia,category,lat,lon,city
Stadsbiblioteket Stockholm,http://biblioteket.stockholm.se/,,library,"59,343404","18,054655",Stockholm
Stadsgårdsterminalen,https://www.stadsgardsterminalen.com/,,cultural_center,"59,3191682","18,0781501",Stockholm
Stadsmuseet i Stockholm,https://stadsmuseet.stockholm/,,history_museum,"59,3197222","18,0705556",Stockholm
Stallet - Världens Musik,http://www.stallet.st/,,music_venue,"59,3308634","18,0762172",Stockholm
Stamuli AB,http://www.stamuli.com/,,architectural_designer,"59,3090604","18,067205",Stockholm
Stance Gallery,https://www.stancegallery.com/,,art_gallery,"59,3348482","18,0848286",Stockholm
STAR DJ  Musik & DJ Skola,http://WWW.STARDJ.SE/,,music_production,"59,3381196","18,010629",Stockholm
Starlight,https://stockholmstarlight.se/wp/,,dance_club,"59,301912","18,092923",Stockholm
Stb Vuxenskolans Intern Kulturcentrum i Sthlm,https://Ingen webbplats,,cultural_center,"59,285187","17,972854",Stockholm
Stense,http://www.stense.se/,,art_gallery,"59,3412389","18,070176",Stockholm
STHLM DanceCrew,http://www.sthlmdancecrew.se/,,dance_school,"59,3442478","17,9692593",Stockholm
Sthlm Mass Choir,http://www.sthlmmasschoir.se/,,choir,"59,3327276","18,0281319",Stockholm
Sthlms Barndansskola,http://www.barndansskola.se/,,dance_school,"59,3141655","18,0828788",Stockholm
Stickelbärsvägen 7 Museilägenhet Stadsmuseet,https://stadsmuseet.stockholm/historiska-rum/barnrikehuset-1937/,,museum,"59,3502778","18,0633333",Stockholm
Stiftelsen Musikkulturens Främjande,http://www.nydahlcoll.se/,,museum,"59,3326066","18,0861607",Stockholm
Stockholm Chamber Music,http://www.stockholmchambermusic.se/,,music_venue,"59,3259106","18,0656219",Stockholm
Stockholm Danceconnection,http://www.danceconnection.se/,,dance_school,"59,3457692","18,0548941",Stockholm
Stockholm Fotoantikvariat,http://www.fotoantikvariat.se,,bookstore,"59,3176672","18,057703",Stockholm
Stockholm International Film Festival,https://www.stockholmfilmfestival.se/,,cinema,"59,3335594","18,0586004",Stockholm
Stockholm konst,http://www.stockholmkonst.se/,,art_gallery,"59,3277044","18,051198",Stockholm
Stockholm LineDancers Studio,http://www.linedancers.com/,,dance_school,"59,3439122","18,05739",Stockholm
Stockholm Makerspace,https://www.makerspace.se/,,community_services_non_profits,"59,3506209","18,0677208",Stockholm
Stockholm Music Center AB,http://www.stockholmmusiccenter.se/,,music_venue,"59,3725774","17,855773",Stockholm
Stockholm Royel Palace,https://www.kungahuset.se/english/royal-palaces-and-residences,,history_museum,"59,3266667","18,0716667",Stockholm
Stockholm Salsa Dance,http://www.stockholmsalsadance.com/,,dance_school,"59,3370695","18,0595275",Stockholm
Stockholm Sangeet,http://www.stockholmsangeet.se/,,community_services_non_profits,"59,28471","18,00843",Stockholm
Stockholm Tango,http://www.stockholmtango.com/,,dance_club,"59,3184607","18,0634525",Stockholm
Stockholm University Library,https://www.su.se/stockholm-university-library/,,library,"59,3322747","18,0631255",Stockholm
Stockholm Werkstätte AB,http://www.stockholmwerkstatte.se/,,architectural_designer,"59,3419155","18,059457",Stockholm
Stockholm Writers Festival,http://stockholmwritersfestival.com/,,community_services_non_profits,"59,33806","18,0681",Stockholm
