name,category,website,delete,comments,city,lat,lon
Chór Gdańskiego Uniwersytetu Medycznego,choir,http://chor.gumed.edu.pl/,,,Gdańsk,"54,3807106","18,6222214"
Chór św. Mikołaja,choir,https://gdansk.dominikanie.pl/kontakt/chor-sw-mikolaja/,,,Gdańsk,"54,35213","18,65143"
Cico,dance_club,http://www.cico.pl,2,real estate agency,Gdańsk,"54,3494977","18,6524279"
Cinema City Krewetka,drive_in_theater,http://www.cinema-city.pl,,multi screen cinema complex ,Gdańsk,"54,3548797","18,6466655"
Club Echo,dance_club,Ingen webbplats,,club echo,Gdańsk,"54,3500446","18,6466977"
Crackhouse,dance_club,http://www.crackhou.se/,2,"art. And exhibition venue, closed, future unknown ",Gdańsk,"54,3648922","18,6456553"
Credo Zakład Pogrzebowy - Usługi Pogrzebowe Gdańsk,landscape_architect,https://credo.gdansk.pl/,,,Gdańsk,"54,3835083","18,6208379"
Cubano Gdańsk,dance_club,http://www.cubanogdansk.pl/,,,Gdańsk,"54,3501688","18,6488748"
Custom 34,music_production,http://www.custom34.com/,,,Gdańsk,"54,4212855","18,4609369"
Cyfrowe.pl Centrala Gdańsk,photography_store_and_services,http://www.cyfrowe.pl/,,,Gdańsk,"54,3494355","18,6124473"
Cyman Records,music_and_dvd_store,https://cyman-records.com/,,,Gdańsk,"54,3772538","18,609096"
DAC.digital,newspaper_and_magazines_store,https://dac.digital/,,,Gdańsk,"54,4030487","18,5724666"
Danzig - Westerplatte,history_museum,Ingen webbplats,,,Gdańsk,"54,4065375","18,6670022"
DeJa Vu Muzeum,museum,http://www.dejavumuzeum.pl/,,virtual art museum,Gdańsk,"54,3472978","18,663263"
DETEKT Usługi Archeologiczne,history_museum,https://www.detekt.com.pl/,,archeological services,Gdańsk,"54,3377468","18,5852876"
Diamenty Kamila Jarczewska,fashion,http://Instagram.com/Diamentyjarczewska,,jewlery shop ,Gdańsk,"54,35176","18,65042"
Dni Muzyki Nowej,music_venue,http://klubzak.com.pl/,,and culture centre + cinema,Gdańsk,"54,3870407","18,5924114"
Dom Liter,graphic_designer,Ingen webbplats,,,Gdańsk,"54,35052","18,64995"
Dom Sąsiedzki Nasze Ujeścisko,library,http://www.naszeujescisko.pl/,,local culture centre,Gdańsk,"54,3289926","18,5874784"
Dom Uphagena,museum,https://muzeumgdansk.pl/,,city museum,Gdańsk,"54,3492602","18,6492255"
Domówka Studio,dance_club,http://www.domowkastudio.pl/,,,Gdańsk,"54,3345655","18,635772"
Drukomania.pl,graphic_designer,http://drukomania.pl/,,printing services,Gdańsk,"54,33965","18,56324"
Dwor Artusa,history_museum,http://www.muzeumgdansk.pl/,,same as 75,Gdańsk,"54,3486844","18,6535951"
Ecekon,music_school,http://www.ecekon.pl/,,,Gdańsk,"54,3576409","18,6518858"
Edukacja w Operze Bałtyckiej,opera_and_ballet,http://operabaltycka.pl/pl/edukacja,,,Gdańsk,"54,37255","18,62513"
El Mariachi,dance_club,https://www.trojmiasto.pl/El-Mariachi-o87424.html,,,Gdańsk,"54,3540844","18,6595885"
Empire Music School,music_school,http://szkolamuzyczna.empiremusic.pl/,,,Gdańsk,"54,4278416","18,4774295"
Essentium,graphic_designer,http://www.essentium.pro/,,,Gdańsk,"54,3523855","18,6383396"
Europejskie Centrum Solidarności  I  European Solidarity Centre,museum,https://bilety.ecs.gda.pl/,,Euroepan Solidarity Centre: culture cenre,Gdańsk,"54,3613017","18,649906"
EVC design studio,graphic_designer,https://www.behance.net/EVCdesignstudio,,,Gdańsk,"54,3828137","18,5895284"
expertem,graphic_designer,https://expertem.wordpress.com/,,,Gdańsk,"54,3462426","18,529492"
