name,category,website,delete,comments,city,lat,lon
ALMAF - Association de Lutte contre les MAladies du Foie,community_services_non_profits,http://www.almaf.fr/,2,,Eurometropole Strasbourg,"48,57759","7,7515"
Alsace contre le Cancer,community_services_non_profits,http://www.alsacecontrecancer.com/,2,,Eurometropole Strasbourg,"48,6099343","7,7162091"
Le PréO,theatre,http://www.le-preo.fr/fr/Accueil-122.html,,,Eurometropole Strasbourg,"48,6066562","7,6846566"
Alsace Esport Arena,community_services_non_profits,http://www.alsacearena.com/,2,,Eurometropole Strasbourg,"48,5615972","7,7425938"
Les Comédiens Du Rhin,theatre,https://www.comediensdurhin.com/,,,Eurometropole Strasbourg,"48,578394","7,7697532"
Amicale de Lettres (AmLet),community_services_non_profits,https://www.instagram.com/inst.amadeus?igsh=eHR3a291dDB5NXIw,2,,Eurometropole Strasbourg,"48,5790901","7,7632899"
Amicale des Sapeurs Pompiers de Wolfisheim,community_services_non_profits,Ingen webbplats,2,,Eurometropole Strasbourg,"48,5838554","7,6666122"
Amicale du Chien Nordique Bischheim,community_services_non_profits,Ingen webbplats,2,,Eurometropole Strasbourg,"48,55655","7,7583"
Amicale Sis67,community_services_non_profits,http://www.amicale-sdis67.com/,2,,Eurometropole Strasbourg,"48,58984","7,72864"
Amsed Sve Fès 2016,community_services_non_profits,http://www.amsed.fr/,2,,Eurometropole Strasbourg,"48,5766777","7,7707773"
Les Foirades,theatre,http://www.lesfoirades.fr/,,,Eurometropole Strasbourg,"48,576321","7,729393"
ANBRA Architecture,architectural_designer,https://www.anbra-architecture.fr/,2,,Eurometropole Strasbourg,"48,5664125","7,7663648"
"Anciens de l'Etablissement ""Le Neuhof""",community_services_non_profits,http://www.centre-francais-fondations.org/annuaire-des-fondations/609,2,,Eurometropole Strasbourg,"48,5388359","7,7690753"
TJP CDN Strasbourg-Grand Est,theatre,https://www.tjp-strasbourg.com/,,,Eurometropole Strasbourg,"48,5803","7,74331"
